Graph,RootType,Heuristic,Strategy,ColorCount,Time
0.edge,1,RLF,WholePrime,469,0.42911099968478084
0.edge,1,RLF,Quotient,470,3.8485159003175795
0.edge,1,RLF,WholeGraph,469,0.47550270007923245
0.edge,1,Greedy,WholePrime,482,0.5308868000283837
0.edge,1,Greedy,Quotient,473,3.91058860020712
0.edge,1,Greedy,WholeGraph,481,3.061017499770969
0.edge,1,DSatur,WholePrime,469,0.8947850000113249
0.edge,1,DSatur,Quotient,470,3.7394186998717487
0.edge,1,DSatur,WholeGraph,469,5.7148929997347295
0.edge,1,TabuCol,WholePrime,469,44.84792500035837
0.edge,1,TabuCol,Quotient,470,27.41560269985348
0.edge,1,TabuCol,WholeGraph,469,48.089077399577945
1.edge,1,RLF,WholePrime,295,0.5243278997950256
1.edge,1,RLF,Quotient,294,4.585455100052059
1.edge,1,RLF,WholeGraph,294,1.6266494998708367
1.edge,1,Greedy,WholePrime,300,0.478061200119555
1.edge,1,Greedy,Quotient,294,4.845883999951184
1.edge,1,Greedy,WholeGraph,302,3.6001174999400973
1.edge,1,DSatur,WholePrime,294,0.9762082998640835
1.edge,1,DSatur,Quotient,294,4.983013699762523
1.edge,1,DSatur,WholeGraph,294,6.114269000012428
1.edge,1,TabuCol,WholePrime,295,51.87671829992905
1.edge,1,TabuCol,Quotient,294,33.23815209977329
1.edge,1,TabuCol,WholeGraph,294,43.5416234000586
10.edge,1,RLF,WholePrime,411,0.41549000004306436
10.edge,1,RLF,Quotient,411,3.2496803998947144
10.edge,1,RLF,WholeGraph,411,0.9389474000781775
10.edge,1,Greedy,WholePrime,421,0.43441590014845133
10.edge,1,Greedy,Quotient,414,3.284670500084758
10.edge,1,Greedy,WholeGraph,421,5.007958900183439
10.edge,1,DSatur,WholePrime,414,0.8642917000688612
10.edge,1,DSatur,Quotient,411,3.5095612998120487
10.edge,1,DSatur,WholeGraph,414,8.487174599897116
10.edge,1,TabuCol,WholePrime,411,62.27777249971405
10.edge,1,TabuCol,Quotient,411,41.36234830040485
10.edge,1,TabuCol,WholeGraph,411,53.83420869987458
11.edge,1,RLF,WholePrime,517,0.2533101001754403
11.edge,1,RLF,Quotient,517,1.8701983001083136
11.edge,1,RLF,WholeGraph,517,0.42687740037217736
11.edge,1,Greedy,WholePrime,527,0.2880201004445553
11.edge,1,Greedy,Quotient,521,1.8811392998322845
11.edge,1,Greedy,WholeGraph,526,3.4171538995578885
11.edge,1,DSatur,WholePrime,517,0.6539898002520204
11.edge,1,DSatur,Quotient,517,2.0079572000540793
11.edge,1,DSatur,WholeGraph,517,6.170483000110835
11.edge,1,TabuCol,WholePrime,516,39.68136110017076
11.edge,1,TabuCol,Quotient,517,24.749708199873567
11.edge,1,TabuCol,WholeGraph,517,54.92749550007284
12.edge,1,RLF,WholePrime,401,0.325921599753201
12.edge,1,RLF,Quotient,402,2.133521500043571
12.edge,1,RLF,WholeGraph,401,1.1439052997156978
12.edge,1,Greedy,WholePrime,409,0.3363259001635015
12.edge,1,Greedy,Quotient,404,2.1610861998051405
12.edge,1,Greedy,WholeGraph,408,3.7929524001665413
12.edge,1,DSatur,WholePrime,402,0.6994004999287426
12.edge,1,DSatur,Quotient,402,2.3083009999245405
