Graph,RootType,Heuristic,Strategy,ColorCount,Time,VertexCount
0.edge,1,RLF,WholePrime,75,0.3181797000579536,750
0.edge,1,RLF,Quotient,76,1.9974902998656034,750
0.edge,1,RLF,WholeGraph,76,1.3260637000203133,750
0.edge,1,Greedy,WholePrime,81,0.2186825997196138,750
0.edge,1,Greedy,Quotient,77,2.0672555002383888,750
0.edge,1,Greedy,WholeGraph,82,0.20334019977599382,750
0.edge,1,DSatur,WholePrime,75,0.5118781998753548,750
0.edge,1,DSatur,Quotient,76,2.0991712999530137,750
0.edge,1,DSatur,WholeGraph,75,1.0525600998662412,750
0.edge,1,TabuCol,WholePrime,74,26.057184299919754,750
0.edge,1,TabuCol,Quotient,76,10.362791999708861,750
0.edge,1,TabuCol,WholeGraph,76,4.764754199888557,750
1.edge,1,RLF,WholePrime,58,0.4004664998501539,750
1.edge,1,RLF,Quotient,57,2.9036693000234663,750
1.edge,1,RLF,WholeGraph,58,2.0309581998735666,750
1.edge,1,Greedy,WholePrime,71,0.35960490023717284,750
1.edge,1,Greedy,Quotient,57,3.010064300149679,750
1.edge,1,Greedy,WholeGraph,73,0.23450860008597374,750
1.edge,1,DSatur,WholePrime,58,0.6598534001968801,750
1.edge,1,DSatur,Quotient,57,3.1057575000450015,750
1.edge,1,DSatur,WholeGraph,58,0.7900013998150826,750
1.edge,1,TabuCol,WholePrime,55,27.972660299856216,750
1.edge,1,TabuCol,Quotient,57,10.064362799748778,750
1.edge,1,TabuCol,WholeGraph,58,4.960620500147343,750
10.edge,1,RLF,WholePrime,79,0.2755286996252835,750
10.edge,1,RLF,Quotient,79,1.567444700282067,750
10.edge,1,RLF,WholeGraph,79,1.229682699777186,750
10.edge,1,Greedy,WholePrime,90,0.21924829995259643,750
10.edge,1,Greedy,Quotient,83,1.6377636999823153,750
10.edge,1,Greedy,WholeGraph,87,0.3207131000235677,750
10.edge,1,DSatur,WholePrime,77,0.4504110999405384,750
10.edge,1,DSatur,Quotient,78,1.6867006001994014,750
10.edge,1,DSatur,WholeGraph,77,0.9169528000056744,750
10.edge,1,TabuCol,WholePrime,76,29.79435109999031,750
10.edge,1,TabuCol,Quotient,78,11.75924829998985,750
10.edge,1,TabuCol,WholeGraph,79,10.133676600176841,750
11.edge,1,RLF,WholePrime,76,0.32455600006505847,750
11.edge,1,RLF,Quotient,76,2.1128433998674154,750
11.edge,1,RLF,WholeGraph,77,1.8686990002170205,750
11.edge,1,Greedy,WholePrime,81,0.23900659987702966,750
11.edge,1,Greedy,Quotient,77,2.051539200358093,750
11.edge,1,Greedy,WholeGraph,82,0.3966506002470851,750
11.edge,1,DSatur,WholePrime,76,0.46466199960559607,750
11.edge,1,DSatur,Quotient,76,2.1456647999584675,750
11.edge,1,DSatur,WholeGraph,76,0.9798848000355065,750
11.edge,1,TabuCol,WholePrime,74,21.94495499972254,750
11.edge,1,TabuCol,Quotient,76,7.288876600097865,750
11.edge,1,TabuCol,WholeGraph,77,9.340787699911743,750
12.edge,1,RLF,WholePrime,96,0.4232484996318817,750
12.edge,1,RLF,Quotient,96,3.1226300997659564,750
12.edge,1,RLF,WholeGraph,95,1.522814300376922,750
12.edge,1,Greedy,WholePrime,106,0.30519820004701614,750
12.edge,1,Greedy,Quotient,97,3.285416199825704,750
12.edge,1,Greedy,WholeGraph,108,0.33148329984396696,750
12.edge,1,DSatur,WholePrime,94,0.7273601000197232,750
12.edge,1,DSatur,Quotient,96,3.2031427999027073,750
12.edge,1,DSatur,WholeGraph,94,1.7103287000209093,750
12.edge,1,TabuCol,WholePrime,93,28.40740010002628,750
12.edge,1,TabuCol,Quotient,96,6.143088100012392,750
12.edge,1,TabuCol,WholeGraph,95,7.444337899796665,750
13.edge,1,RLF,WholePrime,92,0.2283517997711897,750
13.edge,1,RLF,Quotient,93,1.1326389000751078,750
13.edge,1,RLF,WholeGraph,91,0.9864916997030377,750
13.edge,1,Greedy,WholePrime,100,0.1779255997389555,750
13.edge,1,Greedy,Quotient,95,1.1524314996786416,750
13.edge,1,Greedy,WholeGraph,100,0.339452899992466,750
13.edge,1,DSatur,WholePrime,91,0.3546116999350488,750
13.edge,1,DSatur,Quotient,93,1.1592447003349662,750
13.edge,1,DSatur,WholeGraph,91,1.220499400049448,750
13.edge,1,TabuCol,WholePrime,91,25.13868650002405,750
13.edge,1,TabuCol,Quotient,93,7.788169999606907,750
13.edge,1,TabuCol,WholeGraph,91,6.635851999744773,750
14.edge,1,RLF,WholePrime,73,0.21211730036884546,750
14.edge,1,RLF,Quotient,72,1.3187583000399172,750
14.edge,1,RLF,WholeGraph,72,1.3739368002861738,750
14.edge,1,Greedy,WholePrime,77,0.1769111999310553,750
14.edge,1,Greedy,Quotient,73,1.3533208998851478,750
14.edge,1,Greedy,WholeGraph,77,0.22320189978927374,750
14.edge,1,DSatur,WholePrime,69,0.32699820026755333,750
14.edge,1,DSatur,Quotient,71,1.372658499982208,750
14.edge,1,DSatur,WholeGraph,69,0.8994373003952205,750
